a,b,answer
5.7,5.12,1
17.8,17.12,1
16.7,16.12,1
20.8,20.12,1
3.7,3.13,1
15.11,15.7,2
4.12,4.9,2
18.7,18.12,1
7.12,7.7,2
16.11,16.6,2
6.9,6.11,1
2.7,2.11,1
11.7,11.12,1
5.6,5.12,1
3.8,3.13,1
13.7,13.13,1
16.7,16.13,1
16.11,16.9,2
20.8,20.12,1
17.12,17.7,2
13.6,13.12,1
7.13,7.8,2
7.7,7.12,1
11.8,11.11,1
13.8,13.13,1
14.8,14.11,1
15.8,15.12,1
20.9,20.11,1
13.9,13.11,1
2.7,2.12,1
1.12,1.9,2
14.7,14.12,1
2.7,2.11,1
15.7,15.11,1
2.12,2.8,2
8.7,8.11,1
4.7,4.12,1
4.6,4.12,1
14.8,14.11,1
12.9,12.12,1
6.8,6.12,1
3.8,3.12,1
13.8,13.12,1
11.6,11.12,1
13.6,13.12,1
18.12,18.7,2
9.12,9.7,2
16.12,16.9,2
5.7,5.13,1
3.6,3.12,1
15.9,15.12,1
19.12,19.7,2
12.7,12.11,1
2.8,2.12,1
15.8,15.11,1
3.8,3.12,1
1.7,1.12,1
19.11,19.6,2
1.9,1.12,1
9.8,9.13,1
14.11,14.9,2
9.12,9.8,2
11.6,11.11,1
6.13,6.8,2
6.8,6.13,1
2.7,2.13,1
18.7,18.12,1
16.12,16.9,2
14.12,14.7,2
18.8,18.12,1
16.7,16.11,1
4.6,4.12,1
3.13,3.9,2
2.7,2.13,1
15.7,15.11,1
10.11,10.8,2
14.8,14.13,1
4.8,4.12,1
10.9,10.13,1
3.6,3.12,1
6.7,6.13,1
5.7,5.12,1
16.11,16.8,2
15.7,15.12,1
14.9,14.11,1
19.9,19.12,1
11.9,11.13,1
16.7,16.13,1
12.7,12.13,1
3.11,3.8,2
11.8,11.13,1
18.7,18.12,1
2.11,2.8,2
11.7,11.12,1
8.7,8.12,1
9.7,9.11,1
5.6,5.13,1
19.13,19.6,2
19.9,19.12,1
20.7,20.13,1
